Station Name: HOLYCROSS-Cabragh_Wetlands
Station Height: 94 M 
Latitude:52.640  ,Longitude: -7.838


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
24-may-2013,0,0.000, , , , , , 
25-may-2013,0,0.400, , , , , , 
26-may-2013,0,12.500, , , , , , 
27-may-2013,0,2.400, , , , , , 
28-may-2013,0,4.600, , , , , , 
29-may-2013,0,0.000, , , , , , 
30-may-2013,4,0.000, , , , , , 
31-may-2013,4,0.000, , , , , , 
01-jun-2013,0,0.000, , , , , , 
02-jun-2013,0,0.000, , , , , , 
03-jun-2013,0,0.000, , , , , , 
04-jun-2013,0,0.000, , , , , , 
05-jun-2013,0,0.000, , , , , , 
06-jun-2013,0,0.000, , , , , , 
07-jun-2013,0,0.000, , , , , , 
08-jun-2013,0,0.000, , , , , , 
09-jun-2013,0,0.000, , , , , , 
10-jun-2013,0,4.600, , , , , , 
11-jun-2013,0,8.600, , , , , , 
12-jun-2013,0,3.800, , , , , , 
13-jun-2013,0,2.600, , , , , , 
14-jun-2013,0,8.400, , , , , , 
15-jun-2013,0,0.800, , , , , , 
16-jun-2013,0,9.000, , , , , , 
17-jun-2013,0,0.100, , , , , , 
18-jun-2013,0,0.000, , , , , , 
19-jun-2013,0,0.000, , , , , , 
20-jun-2013,0,0.200, , , , , , 
21-jun-2013,0,2.300, , , , , , 
22-jun-2013,4,0.000, , , , , , 
23-jun-2013,0,2.900, , , , , , 
24-jun-2013,0,0.000, , , , , , 
25-jun-2013,0,0.000, , , , , , 
26-jun-2013,0,0.000, , , , , , 
27-jun-2013,0,0.000, , , , , , 
28-jun-2013,0,0.000, , , , , , 
29-jun-2013,0,0.000, , , , , , 
30-jun-2013,0,1.400, , , , , , 
01-jul-2013,0,2.100, , , , , , 
02-jul-2013,0,0.600, , , , , , 
03-jul-2013,0,0.200, , , , , , 
04-jul-2013,4,0.000, , , , , , 
05-jul-2013,4,0.000, , , , , , 
06-jul-2013,0,0.000, , , , , , 
07-jul-2013,4,0.000, , , , , , 
08-jul-2013,0,0.000, , , , , , 
09-jul-2013,0,0.000, , , , , , 
10-jul-2013,0,0.000, , , , , , 
11-jul-2013,0,0.000, , , , , , 
12-jul-2013,0,0.000, , , , , , 
13-jul-2013,0,0.000, , , , , , 
14-jul-2013,4,0.000, , , , , , 
15-jul-2013,0,0.000, , , , , , 
16-jul-2013,0,0.000, , , , , , 
17-jul-2013,0,0.000, , , , , , 
18-jul-2013,0,0.000, , , , , , 
19-jul-2013,0,0.000, , , , , , 
20-jul-2013,0,0.000, , , , , , 
21-jul-2013,0,0.000, , , , , , 
22-jul-2013,0,0.000, , , , , , 
23-jul-2013,0,4.700, , , , , , 
24-jul-2013,0,7.800, , , , , , 
25-jul-2013,0,0.400, , , , , , 
26-jul-2013,0,0.100, , , , , , 
27-jul-2013,0,2.500, , , , , , 
28-jul-2013,0,9.600, , , , , , 
29-jul-2013,0,0.700, , , , , , 
30-jul-2013,0,8.700, , , , , , 
31-jul-2013,0,23.000, , , , , , 
01-aug-2013,0,2.800, , , , , , 
02-aug-2013,0,5.300, , , , , , 
03-aug-2013,0,8.000, , , , , , 
04-aug-2013,0,6.500, , , , , , 
