"","Greyhound_name","Sire_Name","Dam_name","Prize","Weight","Win_time","By","Going","Est_time","SP","Grade","Comment","Date","Name_of_race1","County"
"1","MICASH","ARDERA POWER","BEECHVIEW MINX","€205.00","63","16.79"," ","Sand","16.79&nbsp","n/p","S5","FAw,ALd","05-Jan-18","Flat 300  ","Clonmel"
"2","CLOHEENA BOE","ROMEO RECRUIT","CASTLEHALE JOY","€210.00","78","30.50"," ","-.10 Slow","30.40&nbsp","n/p","A9","SlAw,Ld 2","05-Jan-18","Flat 525  ","Clonmel"
"3","EASILY KNOWN","KINLOCH BRAE","LIOSGARBH PENNY","€205.00","62","16.96"," ","Sand","16.96&nbsp","n/p","S7","FAw,ALd","05-Jan-18","Flat 300  ","Clonmel"
"4","SPRINGWOOD EMMA","SCOLARI ME DADDY","SPRINGWOOD NOKIA","€285.00","65","29.79"," ","-.10 Slow","29.69&nbsp","n/p","A5","EvAw,LdNrL","05-Jan-18","Flat 525  ","Clonmel"
"5","DAUNTING SPREE","MALL BRANDY","SKILLED SPREE","€285.00","56","29.99"," ","-.10 Slow","29.89&nbsp","n/p","A6","SlAw,Ld 4","05-Jan-18","Flat 525  ","Clonmel"
"6","CHAMBERLAIN ZEBO","SUPERIOR PRODUCT","SHES SO VAIN","€210.00","66","16.86"," ","Sand","16.86&nbsp","n/p","S6","Chl 1,LdNrL","05-Jan-18","Flat 300  ","Clonmel"
"7","LAURDELLA JANE","LAUGHIL BLAKE","JAMAICA JANE","€290.00","70","29.55"," ","-.10 Slow","29.45&nbsp","n/p","A4","QAw,ALd","05-Jan-18","Flat 525  ","Clonmel"
"8","HAISTED","KINLOCH BRAE","ASTONS TURBO","€290.00","61","29.63"," ","-.10 Slow","29.53&nbsp","n/p","A5","QAw,ALd","05-Jan-18","Flat 525  ","Clonmel"
"9","MEANDER VALLEY","GREENWELL HAWK","DROOPYS LAKE","€310.00","71","30.17"," ","-.50 Slow","29.67&nbsp","n/p","A5","Blk 1,Ld 1","07-Jan-18","Flat 525  ","Clonmel"
"10","POPULAR SUZIE","DROOPYS VIERI","CHEERFUL LIL","€310.00","62","30.17"," ","-.50 Slow","29.67&nbsp","n/p","A5","Blk 1,ALd","07-Jan-18","Flat 525  ","Clonmel"
"11","ASTONS SUPREME","BALLYMAC VIC","ASTONS TURBO","€210.00","68","16.92"," ","-.20 Slow","16.72&nbsp","n/p","S5","EP,Snld","07-Jan-18","Flat 300  ","Clonmel"
"12","OPEN THE BOOT","TYRUR BIG MIKE","GALLOPING MAEVE","€310.00","80","29.77"," ","-.50 Slow","29.27&nbsp","n/p","A3","QAw,Ld 2","07-Jan-18","Flat 525  ","Clonmel"
"13","GALLOPING GLORY","TYRUR BIG MIKE","GALLOPING MAEVE","€325.00","78","30.92"," ","-.50 Slow","30.42&nbsp","n/p","A2","ALd,drclr","07-Jan-18","Flat 550  ","Clonmel"
"14","TIVOLI ROSE","LAUGHIL BLAKE","TIVOLI MAEVE","€235.00","68","16.77"," ","-.20 Slow","16.57&nbsp","n/p","S3","Chl 1,Ld 2","07-Jan-18","Flat 300  ","Clonmel"
"15","SLANEYSIDE BEHAN","SUPERIOR PRODUCT","SLANEYSIDE TEXIE","€325.00","64","29.45"," ","-.50 Slow","28.95&nbsp","n/p","A2","QAw,ALd","07-Jan-18","Flat 525  ","Clonmel"
"16","MINOR RACER","TYRUR BIG MIKE","GALLOPING MAEVE","€350.00","68","29.56"," ","-.50 Slow","29.06&nbsp","n/p","A2","Blk 1,Ld 2","07-Jan-18","Flat 525  ","Clonmel"
"17","BOTTLE OF BANTER","BALLYMAC VIC","TICKLE THEE","€350.00","64","29.75"," ","-.50 Slow","29.25&nbsp","n/p","A3","FAw,Ld 1","07-Jan-18","Flat 525  ","Clonmel"
"18","MUSTANG ABBY","TAYLORS SKY","SLIPPERY ANNA","€210.00","56","30.24"," ","-.10 Slow","30.14&nbsp","5/4F","A8","QAw,Ld 2","12-Jan-18","Flat 525  ","Clonmel"
"19","MEADOWGROVE STAR","ZERO TEN","ROSETOWN BEAUTY","€255.00","66","29.84"," ","-.10 Slow","29.74&nbsp","7/4","A6","QAw,ALd","12-Jan-18","Flat 525  ","Clonmel"
"20","STEAM POWER","CONFIDENT RANKIN","BOOZED QUEEN","€205.00","70","16.67"," ","Sand","16.67&nbsp","6/4jf","S4","EP,Ld 1","12-Jan-18","Flat 300  ","Clonmel"
"21","COOLADERRY ERIN","KINLOCH BRAE","TARSNA SAL","€230.00","56","29.80"," ","-.10 Slow","29.70&nbsp","2/1","A6","FAw,Ld 4","12-Jan-18","Flat 525  ","Clonmel"
"22","CLONEEN SKYPE","DROOPYS JET","BLACKSTONE SKYPE","€285.00","61","29.28"," ","-.10 Slow","29.18&nbsp","1/1F","A3","FAw,Ld 3","12-Jan-18","Flat 525  ","Clonmel"
"23","BEAU DARCY","KINLOCH BRAE","RAHYVIRA SMURF","€205.00","58","16.60"," ","Sand","16.60&nbsp","6/4","S4","EP,Ld 2","12-Jan-18","Flat 300  ","Clonmel"
"24","STAGE OS CARA","ARCHATON PINE","AUGHACASLA JILL","€285.00","75","29.48"," ","-.10 Slow","29.38&nbsp","6/4jf","A4","Ld 1,drclr","12-Jan-18","Flat 525  ","Clonmel"
"25","CODE OAKS","OAKS ROAD","CODE LADY","€290.00","62","29.85"," ","-.10 Slow","29.75&nbsp","2/1","A6","FAw,Ld 4","12-Jan-18","Flat 525  ","Clonmel"
"26","MISSES BOSS","LENSON BOLT","CIARAS TURBO","€290.00","57","29.83"," ","-.10 Slow","29.73&nbsp","6/4F","A6","FAw,ALd","14-Jan-18","Flat 525  ","Clonmel"
"27","MUSTANG MAYBE","TAYLORS SKY","FRIDAYS MAYBE","€310.00","58","29.62"," ","-.10 Slow","29.52&nbsp","2/1","A5","QAw,Ld 2","14-Jan-18","Flat 525  ","Clonmel"
"28","FINE DINING","DROOPYS JET","HYLDA GLYDER","€205.00","71","16.68"," ","Normal","16.68&nbsp","2/1","S4","Chl 1,Ld 2","14-Jan-18","Flat 300  ","Clonmel"
"29","BABOG GORM","GREENANE BINGO","NORTH BAY GIRL","€310.00","65","29.49"," ","-.10 Slow","29.39&nbsp","2/1","A4","QAw,ALd","14-Jan-18","Flat 525  ","Clonmel"
"30","AMELIAS IMPACT","SHANEBOY LEE","SADIES IMPACT","€325.00","65","29.52"," ","-.10 Slow","29.42&nbsp","5/2","A4","VQaw,ALd","14-Jan-18","Flat 525  ","Clonmel"
"31","LYREEN FALCON","LYREEN LEGEND","TIPTREE OLLIE","€210.00","76","16.59"," ","Normal","16.59&nbsp","5/2","S3","Chl 1,Ld 2","14-Jan-18","Flat 300  ","Clonmel"
"32","GOLDMINE LARKY","BALLYANA FOXTROT","LUGHILL MARIE","€325.00","58","29.43"," ","-.10 Slow","29.33&nbsp","5/2","A4","Ld 1,Chl 3","14-Jan-18","Flat 525  ","Clonmel"
"33","MINOR RACER","TYRUR BIG MIKE","GALLOPING MAEVE","€350.00","68","30.60"," ","-.10 Slow","30.50&nbsp","1/1F","A3","EvAw,LdRi","14-Jan-18","Flat 550  ","Clonmel"
"34","SLANEYSIDE BEHAN","SUPERIOR PRODUCT","SLANEYSIDE TEXIE","€350.00","64","29.65"," ","-.10 Slow","29.55&nbsp","4/5F","A5","BmpRu,ALd","14-Jan-18","Flat 525  ","Clonmel"
"35","SAVANA BRAE","KINLOCH BRAE","DUCK FAT","€50.00","76","28.82"," ","-.10 Slow","28.72&nbsp","1/1F","A1","QAw,ALd","19-Jan-18","Flat 525  ","Clonmel"
"36","MUSIC TOOUR EARS","DROOPYS JET","GLIDEAWAY MARINA","€50.00","75","28.98"," ","-.10 Slow","28.88&nbsp","1/1F","A1","ALd,RlRu","19-Jan-18","Flat 525  ","Clonmel"
"37","GALLOPING MIKE","TYRUR BIG MIKE","GALLOPING MAEVE","€205.00","75","16.70"," ","Sand","16.70&nbsp","5/4F","S5","FcdCk1,LdNrL","19-Jan-18","Flat 300  ","Clonmel"
"38","CLARES PERISI","DROOPYS NIDGE","GLIDEAWAY KATE","€50.00","74","29.10"," ","-.10 Slow","29.00&nbsp","3/1","A2","FAw,LdBS","19-Jan-18","Flat 525  ","Clonmel"
"39","CONEY CASHOUT","SCOLARI ME DADDY","PROPER LUCKY","€50.00","74","29.19"," ","-.10 Slow","29.09&nbsp","5/4F","A2","FAw,Ld 4","19-Jan-18","Flat 525  ","Clonmel"
"40","DALCASH BEHOLD","TAYLORS SKY","DALCASH DEVICI","€50.00","79","29.15"," ","-.10 Slow","29.05&nbsp","3/1","A2","QAw,ALd","19-Jan-18","Flat 525  ","Clonmel"
"41","KIT COMMANDO","DROOPYS NIDGE","UNIQUE BREDA","€50.00","67","29.01"," ","-.10 Slow","28.91&nbsp","4/6F","A2","QAw,Ld 2","19-Jan-18","Flat 525  ","Clonmel"
"42","RURAL ALOHA","KINLOCH BRAE","DUCK FAT","€50.00","59","29.14"," ","-.10 Slow","29.04&nbsp","5/4F","A2","QAw,ALd","19-Jan-18","Flat 525  ","Clonmel"
"43","DRIFTING BILL","BELLES DIRECTION","HESTIA JET","€50.00","71","29.24"," ","-.10 Slow","29.14&nbsp","2/1","A3","FAw,ALd","19-Jan-18","Flat 525  ","Clonmel"
"44","CANDOLIM DREAM","KINLOCH BRAE","BEAMING GUSTY","€50.00","64","29.44"," ","-.10 Slow","29.34&nbsp","5/4F","A4","QAw,ALd","21-Jan-18","Flat 525  ","Clonmel"
"45","BELLAGORS CADGE","HONDO BLACK","AIRFORCE ALICE","€50.00","70","29.51"," ","-.10 Slow","29.41&nbsp","5/2","A4","QAw,ALd","21-Jan-18","Flat 525  ","Clonmel"
"46","EXCITING STYLE","RAZLDAZL RIOGA","EXCITING POPPET","€50.00","63","29.63"," ","-.10 Slow","29.53&nbsp","5/2","A5","QAw,ALd","21-Jan-18","Flat 525  ","Clonmel"
"47","BULLET OLDCHAPEL","KINLOCH BRAE","TOMS CAILIN","€50.00","61","29.66"," ","-.10 Slow","29.56&nbsp","2/1cf","A5","EvAw,Ld 4","21-Jan-18","Flat 525  ","Clonmel"
"48","POPULAR TABLE","DAN THE MAN","POPULAR SUZIE","€205.00","64","16.73"," ","Sand","16.73&nbsp","1/1F","S5","FAw,ALd","21-Jan-18","Flat 300  ","Clonmel"
"49","SEND IT HOBBS","SCOLARI ME DADDY","BALLYMAC WANDER","€50.00","65","29.89"," ","-.10 Slow","29.79&nbsp","2/1cf","A6","EP,BBlk 1","21-Jan-18","Flat 525  ","Clonmel"
"50","BALLINABOLA THEO","DROOPYS JET","BALLINABOLA JOY","€50.00","79","29.15"," ","-.10 Slow","29.05&nbsp","2/1cf","A2","FAw,Ld 1","21-Jan-18","Flat 525  ","Clonmel"
"51","CAVIES GRINGO","DROOPYS CAIN","DROOPYS COAST","€50.00","76","29.21"," ","-.10 Slow","29.11&nbsp","2/1","A3","EP,Ld 3","21-Jan-18","Flat 525  ","Clonmel"
"52","FAGANS MCCAW","PREMIER FANTASY","EL MARYJO","€50.00","84","29.79"," ","-.10 Slow","29.69&nbsp","5/2","A5","EP,Ld 2","21-Jan-18","Flat 525  ","Clonmel"
"53","MIAS LORRAINE","BALLYMAC VIC","RURAL MAUI","€230.00","59","30.02"," ","-.10 Slow","29.92&nbsp","6/4jf","A7","EP,Ld 3","26-Jan-18","Flat 525  ","Clonmel"
"54","SPORTING DIAMOND","DROOPYS CAIN","DREAM WINNER","€300.00","63","29.61"," ","-.10 Slow","29.51&nbsp","4/6F","A5","Blk 2,Ld 3","26-Jan-18","Flat 525  ","Clonmel"
"55","ASK EDDIE","BALLYMAC VIC","NOIRS PEACHES","€285.00","75","29.52"," ","-.10 Slow","29.42&nbsp","4/6F","A4","FAw,Ld 1","26-Jan-18","Flat 525  ","Clonmel"
"56","HONTHEHILL","DROOPYS CAIN","BLACK HOPIT","€50.00","75","30.81"," ","-.10 Slow","30.71&nbsp","5/4F","A4","SlAw,Ld 4","26-Jan-18","Flat 550  ","Clonmel"
"57","MOORSTOWN VENUS","CRASH","MOORSTOWN MISHA","€50.00","59","30.33"," ","-.10 Slow","30.23&nbsp","5/2","A1","EvAw,Ld 4","26-Jan-18","Flat 550  ","Clonmel"
"58","KARLOW SCOLAR","DROOPYS SCOLARI","CHINA DOLL","€50.00","77","30.45"," ","-.10 Slow","30.35&nbsp","3/1","A2","FAw,ALd","26-Jan-18","Flat 550  ","Clonmel"
"59","MACAROON CRUZ","SUPERIOR PRODUCT","SKYLINE AMBER","€50.00","70","30.25"," ","-.10 Slow","30.15&nbsp","5/4","A1","EP,ALd","26-Jan-18","Flat 550  ","Clonmel"
"60","LUGHILL IVY","TYRUR SUGAR RAY","LUGHILL SANDRA","€50.00","66","28.95"," ","-.10 Slow","28.85&nbsp","6/4","A1","QAw,Ld 4","26-Jan-18","Flat 525  ","Clonmel"
"61","SIDARIAN FERN","TYRUR BIG MIKE","DIEGOS LADY","€50.00","68","29.03"," ","-.10 Slow","28.93&nbsp","4/6F","A2","QAw,Ld 1","26-Jan-18","Flat 525  ","Clonmel"
"62","BOOM TIME","LAUGHIL BLAKE","DROOPYS POSH","€50.00","58","29.33"," ","-.10 Slow","29.23&nbsp","2/1","A3","EP,LdNrL","26-Jan-18","Flat 525  ","Clonmel"
"63","GOLDMINE LARKY","BALLYANA FOXTROT","LUGHILL MARIE","€50.00","59","29.36"," ","-.10 Slow","29.26&nbsp","2/1","A3","QAw,LdNrL","28-Jan-18","Flat 525  ","Clonmel"
"64","REVILO NERO","ISO OCTANE","REVILO BLUE","€50.00","58","29.59"," ","-.10 Slow","29.49&nbsp","5/2","A4","FAw,Ld 1","28-Jan-18","Flat 525  ","Clonmel"
"65","HELL YEAH","SUPERIOR PRODUCT","ROCKBURST PEARL","€290.00","75","29.58"," ","-.10 Slow","29.48&nbsp","5/4F","A4","EP,Ld 1","28-Jan-18","Flat 525  ","Clonmel"
"66","SERENE ADAM","STORM CONTROL","LADY LONG HEIR","€50.00","71","29.30"," ","-.10 Slow","29.20&nbsp","3/1","A3","QAw,ALd","28-Jan-18","Flat 525  ","Clonmel"
"67","SEND IT HOBBS","SCOLARI ME DADDY","BALLYMAC WANDER","€50.00","65","29.19"," ","-.10 Slow","29.09&nbsp","7/2","A2","QAw,Ld 1","28-Jan-18","Flat 525  ","Clonmel"
"68","DROOPYS FLORAL","LOUGHTEEN BLANCO","DROOPYS CYCLONE","€50.00","63","29.19"," ","-.10 Slow","29.09&nbsp","5/4","A2","Bmp 1,Ld 3","28-Jan-18","Flat 525  ","Clonmel"
"69","SKYWALKER TUCO","SKYWALKER PUMA","DAME IRIS","€50.00","70","28.42"," ","-.10 Slow","28.32&nbsp","1/2F","AA0","QAw,ALd","28-Jan-18","Flat 525  ","Clonmel"
"70","SAVANA BRAE","KINLOCH BRAE","DUCK FAT","€50.00","76","28.95"," ","-.10 Slow","28.85&nbsp","6/4jf","A1","QAw,ALd","28-Jan-18","Flat 525  ","Clonmel"
"71","DRIFTING BILL","BELLES DIRECTION","HESTIA JET","€50.00","70","29.43"," ","-.10 Slow","29.33&nbsp","6/4","A4","Chl 1,Blk 1","28-Jan-18","Flat 525  ","Clonmel"
"72","RACEWAY ROSE","ROMEO RECRUIT","DONS FANTASY","€230.00","62","30.00"," ","-.10 Slow","29.90&nbsp","5/2","A7","EvAw,Ld 4","02-Feb-18","Flat 525  ","Clonmel"
"73","PRETTY JET","DROOPYS JET","DROOPYS MALAGA","€255.00","60","29.15"," ","-.10 Slow","29.05&nbsp","2/1","A2","Ld 1,drclr","02-Feb-18","Flat 525  ","Clonmel"
"74","AN CHARRAIG ABU","KINLOCH BRAE","CLONROOSKE FAWN","€210.00","78","16.54"," ","Sand","16.54&nbsp","2/1","S3","Snld,drclr","02-Feb-18","Flat 300  ","Clonmel"
"75","BALINAKILL DUCK","KINLOCH BRAE","DUCK FAT","€285.00","58","29.48"," ","-.10 Slow","29.38&nbsp","4/5F","A4","FAw,ALd","02-Feb-18","Flat 525  ","Clonmel"
"76","SUPERB BEAUTY","CONFIDENT RANKIN","LADY MIDNIGHT","€50.00","62","29.45"," ","-.10 Slow","29.35&nbsp","2/1","A4","QAw,Ld 1","02-Feb-18","Flat 525  ","Clonmel"
"77","AHAVOHER BEAUTY","BALLYMAC VIC","EARLS DIVA","€50.00","68","29.20"," ","-.10 Slow","29.10&nbsp","1/1F","A3","QAw,Ld 3","02-Feb-18","Flat 525  ","Clonmel"
"78","STOREMAN TOM","SKYWALKER PUMA","BOOZED BUBBLE","€50.00","78","30.44"," ","-.10 Slow","30.34&nbsp","3/1","A2","EP,ALd","02-Feb-18","Flat 550  ","Clonmel"
"79","KARLOW SCOLAR","DROOPYS SCOLARI","CHINA DOLL","€50.00","77","30.21"," ","-.10 Slow","30.11&nbsp","2/1","A1","EP,Ld 2","02-Feb-18","Flat 550  ","Clonmel"
"80","COOLAVANNY ELLA","TYRUR BIG MIKE","YAHOO PERLENA","€50.00","65","28.75"," ","-.10 Slow","28.65&nbsp","5/2","A0","QAw,Ld 1","02-Feb-18","Flat 525  ","Clonmel"
"81","BOOM TIME","LAUGHIL BLAKE","DROOPYS POSH","€50.00","58","28.79"," ","-.10 Slow","28.69&nbsp","5/2","A0","QAw,ALd","02-Feb-18","Flat 525  ","Clonmel"
"82","LOSKERAN PADDY","DROOPYS CAIN","LOSKERAN BEAUTY","€50.00","72","29.36"," ","-.10 Slow","29.26&nbsp","6/4","A3","FAw,Ld 1","04-Feb-18","Flat 525  ","Clonmel"
"83","GALLOPING ROSIE","TYRUR BIG MIKE","GALLOPING MAEVE","€50.00","64","29.65"," ","-.10 Slow","29.55&nbsp","2/1","A5","EP,LdNrL","04-Feb-18","Flat 525  ","Clonmel"
"84","TIMMY TWIST","PARADISE MADISON","LEMON FABIA","€50.00","71","29.44"," ","-.10 Slow","29.34&nbsp","2/1","A4","EP,ChlRi","04-Feb-18","Flat 525  ","Clonmel"
"85","RIVERSIDE BUBBLE","TAYLORS SKY","COOLAVANNY PANDY","€50.00","59","29.53"," ","-.10 Slow","29.43&nbsp","6/4jf","A4","EvAw,Ld 3","04-Feb-18","Flat 525  ","Clonmel"
"86","SKYWALKER NIMROD","SKYWALKER PUMA","SKYWALKER QUEEN","€350.00","74","29.28"," ","-.10 Slow","29.18&nbsp","1/1F","A3","FAw,ALd","04-Feb-18","Flat 525  ","Clonmel"
"87","TIVOLI ROSE","LAUGHIL BLAKE","TIVOLI MAEVE","€220.00","67","16.29"," ","Sand","16.29&nbsp","5/4F","S0","FAw,ALd","04-Feb-18","Flat 300  ","Clonmel"
"88","REVILO NERO","ISO OCTANE","REVILO BLUE","€50.00","58","29.56"," ","-.10 Slow","29.46&nbsp","3/1","A4","ALd,BlkRi","04-Feb-18","Flat 525  ","Clonmel"
"89","BALLINABOLA THEO","DROOPYS JET","BALLINABOLA JOY","€50.00","79","29.11"," ","-.10 Slow","29.01&nbsp","1/1F","A2","FAw,Ld 2","04-Feb-18","Flat 525  ","Clonmel"
"90","BURGESS JUPITER","TAYLORS SKY","MIZEN EDGE","€50.00","70","29.47"," ","-.10 Slow","29.37&nbsp","6/4","A4","FAw,Blk 3","04-Feb-18","Flat 525  ","Clonmel"
"91","SAVANA BRAE","KINLOCH BRAE","DUCK FAT","€50.00","76","29.11"," ","-.10 Slow","29.01&nbsp","1/1F","A2","ALd,CkNrL","04-Feb-18","Flat 525  ","Clonmel"
"92","RACEWAY ROSE","ROMEO RECRUIT","DONS FANTASY","€50.00","62","29.23"," ","-.10 Slow","29.13&nbsp","2/1","A3","QAw,FinWl","09-Feb-18","Flat 525  ","Clonmel"
"93","BEVS NIDGE","DROOPYS NIDGE","SCHAMAZING","€50.00","69","29.40"," ","-.10 Slow","29.30&nbsp","4/5F","A4","FAw,ALd","09-Feb-18","Flat 525  ","Clonmel"
"94","CHAMBERLAIN ZEBO","SUPERIOR PRODUCT","SHES SO VAIN","€210.00","66","16.65"," ","Sand","16.65&nbsp","2/1","S4","Snld,drclr","09-Feb-18","Flat 300  ","Clonmel"
"95","BOOZED BONUS","CONFIDENT RANKIN","BOOZED QUEEN","€50.00","71","29.59"," ","-.10 Slow","29.49&nbsp","6/4","A4","FAw,Ld 3","09-Feb-18","Flat 525  ","Clonmel"
"96","HACK UP HOPHOUSE","RAZLDAZL JAYFKAY","EXPERT JESS","€50.00","77","29.53"," ","-.10 Slow","29.43&nbsp","3/1","A4","FAw,Ld 1","09-Feb-18","Flat 525  ","Clonmel"
"97","ON THE COUCH","TAYLORS SKY","CARNIVAL SMURF","€290.00","80","30.89"," ","-.10 Slow","30.79&nbsp","3/1","A4","SlAw,LdNrL","09-Feb-18","Flat 550  ","Clonmel"
"98","SOUTHWOOD CHASE","SCOLARI ME DADDY","CASTLE SPIRIT","€50.00","76","29.32"," ","-.10 Slow","29.22&nbsp","7/4","A3","QAw,ALd","09-Feb-18","Flat 525  ","Clonmel"
"99","POPULAR SUZIE","DROOPYS VIERI","CHEERFUL LIL","€50.00","61","29.45"," ","-.10 Slow","29.35&nbsp","2/1","A4","FAw,Ld 2","09-Feb-18","Flat 525  ","Clonmel"
"100","CANDOLIM DREAM","KINLOCH BRAE","BEAMING GUSTY","€325.00","64","30.42"," ","-.10 Slow","30.32&nbsp","3/1","A2","FAw,ALd","09-Feb-18","Flat 550  ","Clonmel"
"101","KILLEE DIVA","FOREST MASTER","KILLEE TOWN","€50.00","66","29.86"," ","-.20 Slow","29.66&nbsp","3/1","A5","Chl 4,MvdOff4","10-Feb-18","Flat 525  ","Clonmel"
"102","DARK IDOL","GREENWELL HAWK","DROOPYS LAKE","€50.00","75","29.75"," ","-.20 Slow","29.55&nbsp","6/4jf","A5","QAw,ALd","10-Feb-18","Flat 525  ","Clonmel"
"103","LAGANORE DANNY","GODSEND","WHAT A PRESENT","€350.00","78","30.58"," ","-.20 Slow","30.38&nbsp","3/1","A2","EP,ALd","10-Feb-18","Flat 550  ","Clonmel"
"104","CLEARLY","SKYWALKER PUMA","BOOZED JORDAN","€50.00","62","29.41"," ","-.20 Slow","29.21&nbsp","3/1","A3","FAw,Ld 2","10-Feb-18","Flat 525  ","Clonmel"
"105","CHAOTIC OAK","OAKS ROAD","CHAOTIC DORA","€50.00","71","29.38"," ","-.20 Slow","29.18&nbsp","2/1cf","A3","QAw,ALd","10-Feb-18","Flat 525  ","Clonmel"
"106","ANOTHER MACHINE","ROYAL IMPACT","SARAHS TURBO","€210.00","64","16.71"," ","-.05 Slow","16.66&nbsp","6/4jf","S4","DspLd,Ld 1","10-Feb-18","Flat 300  ","Clonmel"
"107","RURAL ALOHA","KINLOCH BRAE","DUCK FAT","€50.00","59","29.11"," ","-.20 Slow","28.91&nbsp","4/5F","A2","FAw,Ld 1","10-Feb-18","Flat 525  ","Clonmel"
"108","RIVERSIDE TIGER","KINLOCH BRAE","DUCK FAT","€50.00","74","29.95"," ","-.20 Slow","29.75&nbsp","4/5F","A6","Blk 1,Ld 2","10-Feb-18","Flat 525  ","Clonmel"
"109","UNKNOWN VISION","KINLOCH BRAE","PARADISE DELTA","€25.00","65","29.90"," ","-.40 Slow","29.50&nbsp","5/2","A5","QAw,ALd","10-Feb-18","Flat 525  ","Clonmel"
"110","ROSEVILLE LIZ","VANS ESCALADE","THORN BRAE LEE","€50.00","60","29.61"," ","-.40 Slow","29.21&nbsp","2/1","A3","FAw,Ld 4","10-Feb-18","Flat 525  ","Clonmel"
"111","THUNDER CRASH","DAVID BALE","SHAUNA SAID","€800.00","71","29.31"," ","-.20 Slow","29.11&nbsp","5/2","A3","EP,Bmp 1","11-Feb-18","Flat 525  ","Clonmel"
"112","BEAU DARCY","KINLOCH BRAE","RAHYVIRA SMURF","€800.00","59","29.60"," ","-.20 Slow","29.40&nbsp","3/1","A4","FAw,Ld 2","11-Feb-18","Flat 525  ","Clonmel"
"113","AHAVOHER BEAUTY","BALLYMAC VIC","EARLS DIVA","€700.00","68","29.17"," ","-.20 Slow","28.97&nbsp","4/6F","A2","QAw,Ld 1","11-Feb-18","Flat 525  ","Clonmel"
"114","PENNYLANE LUCKY","BALLYMAC VIC","PENNYLANE LACE","€500.00","67","28.74"," ","-.20 Slow","28.54&nbsp","1/1F","A0","VQaw,ALd","11-Feb-18","Flat 525  ","Clonmel"
"115","DROOPYS DARGLE","BALLYMAC ESKE","DROOPYS HILDA","€500.00","65","30.16"," ","-.20 Slow","29.96&nbsp","6/4jf","A0","QAw,ALd","11-Feb-18","Flat 550  ","Clonmel"
"116","BALLINABOLA THEO","DROOPYS JET","BALLINABOLA JOY","€2500.00","80","29.27"," ","-.20 Slow","29.07&nbsp","1/1F","A2","QAw,Ld 4","11-Feb-18","Flat 525  ","Clonmel"
"117","SIDARIAN FERN","TYRUR BIG MIKE","DIEGOS LADY","€1800.00","69","29.19"," ","-.20 Slow","28.99&nbsp","3/1","A2","QAw,Ld 2","11-Feb-18","Flat 525  ","Clonmel"
"118","MACAROON CRUZ","SUPERIOR PRODUCT","SKYLINE AMBER","€2000.00","71","30.14"," ","-.20 Slow","29.94&nbsp","1/1F","A0","EP,Ld 1","11-Feb-18","Flat 550  ","Clonmel"
"119","SKYWALKER TUCO","SKYWALKER PUMA","DAME IRIS","€6000.00","70","28.85"," ","-.20 Slow","28.65&nbsp","4/7F","A0","Bmp 1,Ld 2","11-Feb-18","Flat 525  ","Clonmel"
"120","SPORTING VICTOR","CORPORATE ATTACK","VATICAN IONA","€500.00","68","45.74"," ","-.40 Slow","45.34&nbsp","6/4","D3","BBlk 1,Strfin","11-Feb-18","Flat 790  ","Clonmel"
"121","BANDIT TEX","SUPERIOR PRODUCT","SLANEYSIDE TEXIE","€210.00","56","29.81"," ","-.10 Slow","29.71&nbsp","n/p","A6","Ld 3,drclr","16-Feb-18","Flat 525  ","Clonmel"
"122","CIRCUS REBEL","SIDARIAN RHYTHM","CIRCUS STAR","€255.00","73","30.30"," ","-.10 Slow","30.20&nbsp","n/p","A8","ALd,HldOn","16-Feb-18","Flat 525  ","Clonmel"
"123","TULLAMAINE ROSE","ULLID CONOR","KILARA GYPSY","€205.00","58","16.62"," ","Sand","16.62&nbsp","n/p","S4","EP,Chl 1","16-Feb-18","Flat 300  ","Clonmel"
"124","PEASANT BOY","DROOPYS NIDGE","VALE TURBO","€255.00","78","29.96"," ","-.10 Slow","29.86&nbsp","n/p","A6","Blk 3,LdNrL","16-Feb-18","Flat 525  ","Clonmel"
"125","BRUIS EAGLE EYE","DROOPYS NIDGE","GLIDEAWAY KATE","€285.00","68","29.73"," ","-.10 Slow","29.63&nbsp","n/p","A5","FAw,LdNrL","16-Feb-18","Flat 525  ","Clonmel"
"126","EASILY KNOWN","KINLOCH BRAE","LIOSGARBH PENNY","€205.00","59","16.71"," ","Sand","16.71&nbsp","n/p","S5","QAw,drclr","16-Feb-18","Flat 300  ","Clonmel"
"127","ST MULLINS DADDY","SCOLARI ME DADDY","LIGHTFOOT LADY","€290.00","75","29.37"," ","-.10 Slow","29.27&nbsp","n/p","A3","FAw,Ld 3","16-Feb-18","Flat 525  ","Clonmel"
"128","BABOG GORM","GREENANE BINGO","NORTH BAY GIRL","€310.00","65","29.49"," ","-.10 Slow","29.39&nbsp","n/p","A4","QAw,ALd","16-Feb-18","Flat 525  ","Clonmel"
"129","BEVS NIDGE","DROOPYS NIDGE","SCHAMAZING","€600.00","69","31.31"," ","-.20 Slow","31.11&nbsp","7/4","A6","Blk 1,Ld 2","18-Feb-18","Flat 550  ","Clonmel"
"130","KILLEE DIVA","FOREST MASTER","KILLEE TOWN","€720.00","66","29.76"," ","-.20 Slow","29.56&nbsp","5/2","A5","Chl 3,MvdOff4","18-Feb-18","Flat 525  ","Clonmel"
